Mon Dec 21 04:11:31 2020,04:11:31.048033 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.490 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.490/0.490/0.490/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.049829 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.375 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.375/0.375/0.375/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.056723 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.472 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.472/0.472/0.472/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.058289 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.369 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.369/0.369/0.369/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.060583 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.350 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.350/0.350/0.350/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.061916 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.384 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.384/0.384/0.384/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.068489 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.437 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.437/0.437/0.437/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.070092 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.353 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.353/0.353/0.353/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.072743 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.577 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.577/0.577/0.577/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.076722 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.364 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.364/0.364/0.364/0.000 ms\n'
